run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
director-on-s31,director-on,31,7007232,0.68,,0.0,,,,,,,
director-on-s31,director-on,31,7037952,0.77,,0.0,,,,,,,
director-on-s31,director-on,31,7068672,0.68,,0.0,,,,,,,
director-on-s31,director-on,31,7099392,0.7,,0.0,,,,,,,
director-on-s31,director-on,31,7130112,0.73,,0.0,,,,,,,
director-on-s31,director-on,31,7160832,0.69,,0.0,,,,,,,
director-on-s31,director-on,31,7191552,0.69,,0.0,,,,,,,
director-on-s31,director-on,31,7222272,0.74,,0.0,,,,,,,
director-on-s31,director-on,31,7252992,0.68,,0.0,,,,,,,
director-on-s31,director-on,31,7283712,0.75,,0.0,,,,,,,
director-on-s31,director-on,31,7314432,0.72,,0.0,,,,,,,
director-on-s31,director-on,31,7345152,0.75,,0.0,,,,,,,
director-on-s31,director-on,31,7375872,0.65,,0.0,,,,,,,
director-on-s31,director-on,31,7406592,0.72,,0.0,,,,,,,
director-on-s31,director-on,31,7437312,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,7468032,0.83,,0.0,,,,,,,
director-on-s31,director-on,31,7498752,0.7,,0.0,,,,,,,
director-on-s31,director-on,31,7529472,0.67,,0.0,,,,,,,
director-on-s31,director-on,31,7560192,0.76,,0.0,,,,,,,
director-on-s31,director-on,31,7590912,0.68,,0.0,,,,,,,
director-on-s31,director-on,31,7621632,0.67,,0.0,,,,,,,
director-on-s31,director-on,31,7652352,0.74,,0.0,,,,,,,
director-on-s31,director-on,31,7683072,0.73,,0.0,,,,,,,
director-on-s31,director-on,31,7713792,0.67,,0.0,,,,,,,
director-on-s31,director-on,31,7744512,0.73,,0.0,,,,,,,
director-on-s31,director-on,31,7775232,0.75,,0.0,,,,,,,
director-on-s31,director-on,31,7805952,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,7836672,0.76,,0.0,,,,,,,
director-on-s31,director-on,31,7867392,0.74,,0.0,,,,,,,
director-on-s31,director-on,31,7898112,0.75,,0.0,,,,,,,
director-on-s31,director-on,31,7928832,0.78,,0.0,,,,,,,
director-on-s31,director-on,31,7959552,0.75,,0.0,,,,,,,
director-on-s31,director-on,31,7990272,0.74,,0.0,,,,,,,
director-on-s31,director-on,31,8020992,0.81,,0.0,,,,,,,
director-on-s31,director-on,31,8051712,0.78,,0.0,,,,,,,
director-on-s31,director-on,31,8082432,0.73,,0.0,,,,,,,
director-on-s31,director-on,31,8113152,0.72,,0.0,,,,,,,
director-on-s31,director-on,31,8143872,0.7,,0.0,,,,,,,
director-on-s31,director-on,31,8174592,0.75,,0.0,,,,,,,
director-on-s31,director-on,31,8205312,0.77,,0.0,,,,,,,
director-on-s31,director-on,31,8236032,0.83,,0.0,,,,,,,
director-on-s31,director-on,31,8266752,0.77,,0.0,,,,,,,
director-on-s31,director-on,31,8297472,0.71,,0.0,,,,,,,
director-on-s31,director-on,31,8328192,0.69,,0.0,,,,,,,
director-on-s31,director-on,31,8358912,0.76,,0.0,,,,,,,
director-on-s31,director-on,31,8389632,0.71,,0.0,,,,,,,
director-on-s31,director-on,31,8420352,0.84,,0.0,,,,,,,
director-on-s31,director-on,31,8451072,0.87,,0.0,,,,,,,
director-on-s31,director-on,31,8481792,0.78,,0.0,,,,,,,
director-on-s31,director-on,31,8512512,0.66,,0.0,,,,,,,
director-on-s31,director-on,31,8543232,0.68,,0.0,,,,,,,
director-on-s31,director-on,31,8573952,0.66,,0.0,,,,,,,
director-on-s31,director-on,31,8604672,0.73,,0.0,,,,,,,
director-on-s31,director-on,31,8635392,0.75,,0.0,,,,,,,
director-on-s31,director-on,31,8666112,0.78,,0.0,,,,,,,
director-on-s31,director-on,31,8696832,0.61,,0.0,,,,,,,
director-on-s31,director-on,31,8727552,0.67,,0.0,,,,,,,
director-on-s31,director-on,31,8758272,0.69,,0.0,,,,,,,
director-on-s31,director-on,31,8788992,0.7,,0.0,,,,,,,
director-on-s31,director-on,31,8819712,0.71,,0.0,,,,,,,
director-on-s31,director-on,31,8850432,0.72,,0.0,,,,,,,
director-on-s31,director-on,31,8881152,0.74,,0.0,,,,,,,
director-on-s31,director-on,31,8911872,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,8942592,0.85,,0.0,,,,,,,
director-on-s31,director-on,31,8973312,0.81,,0.0,,,,,,,
director-on-s31,director-on,31,9004032,0.7,,0.0,,,,,,,
director-on-s31,director-on,31,9034752,0.8,,0.0,,,,,,,
director-on-s31,director-on,31,9065472,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,9096192,0.77,,0.0,,,,,,,
director-on-s31,director-on,31,9126912,0.74,,0.0,,,,,,,
director-on-s31,director-on,31,9157632,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,9188352,0.83,,0.0,,,,,,,
director-on-s31,director-on,31,9219072,0.77,,0.0,,,,,,,
director-on-s31,director-on,31,9249792,0.8,,0.0,,,,,,,
director-on-s31,director-on,31,9280512,0.85,,0.0,,,,,,,
director-on-s31,director-on,31,9311232,0.81,,0.0,,,,,,,
director-on-s31,director-on,31,9341952,0.84,,0.0,,,,,,,
director-on-s31,director-on,31,9372672,0.78,,0.0,,,,,,,
director-on-s31,director-on,31,9403392,0.78,,0.0,,,,,,,
director-on-s31,director-on,31,9434112,0.7,,0.0,,,,,,,
director-on-s31,director-on,31,9464832,0.81,,0.0,,,,,,,
director-on-s31,director-on,31,9495552,0.78,,0.0,,,,,,,
director-on-s31,director-on,31,9526272,0.73,,0.0,,,,,,,
director-on-s31,director-on,31,9556992,0.8,,0.0,,,,,,,
director-on-s31,director-on,31,9587712,0.81,,0.0,,,,,,,
director-on-s31,director-on,31,9618432,0.75,,0.0,,,,,,,
director-on-s31,director-on,31,9649152,0.81,,0.0,,,,,,,
director-on-s31,director-on,31,9679872,0.78,,0.0,,,,,,,
director-on-s31,director-on,31,9710592,0.77,,0.0,,,,,,,
director-on-s31,director-on,31,9741312,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,9772032,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,9802752,0.83,,0.0,,,,,,,
director-on-s31,director-on,31,9833472,0.77,,0.0,,,,,,,
director-on-s31,director-on,31,9864192,0.84,,0.0,,,,,,,
director-on-s31,director-on,31,9894912,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,9925632,0.8,,0.0,,,,,,,
director-on-s31,director-on,31,9956352,0.83,,0.0,,,,,,,
director-on-s31,director-on,31,9987072,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,10017792,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,10048512,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,10079232,0.81,,0.0,,,,,,,
director-on-s31,director-on,31,10109952,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,10140672,0.84,,0.0,,,,,,,
director-on-s31,director-on,31,10171392,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,10202112,0.72,,0.0,,,,,,,
director-on-s31,director-on,31,10232832,0.69,,0.0,,,,,,,
director-on-s31,director-on,31,10263552,0.73,,0.0,,,,,,,
director-on-s31,director-on,31,10294272,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,10324992,0.74,,0.0,,,,,,,
director-on-s31,director-on,31,10355712,0.84,,0.0,,,,,,,
director-on-s31,director-on,31,10386432,0.77,,0.0,,,,,,,
director-on-s31,director-on,31,10417152,0.77,,0.0,,,,,,,
director-on-s31,director-on,31,10447872,0.86,,0.0,,,,,,,
director-on-s31,director-on,31,10478592,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,10509312,0.77,,0.0,,,,,,,
director-on-s31,director-on,31,10540032,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,10570752,0.87,,0.0,,,,,,,
director-on-s31,director-on,31,10601472,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,10632192,0.85,,0.0,,,,,,,
director-on-s31,director-on,31,10662912,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,10693632,0.84,,0.0,,,,,,,
director-on-s31,director-on,31,10724352,0.84,,0.0,,,,,,,
director-on-s31,director-on,31,10755072,0.85,,0.0,,,,,,,
director-on-s31,director-on,31,10785792,0.85,,0.0,,,,,,,
director-on-s31,director-on,31,10816512,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,10847232,0.66,,0.0,,,,,,,
director-on-s31,director-on,31,10877952,0.81,,0.0,,,,,,,
director-on-s31,director-on,31,10908672,0.88,,0.0,,,,,,,
director-on-s31,director-on,31,10939392,0.85,,0.0,,,,,,,
director-on-s31,director-on,31,10970112,0.8,,0.0,,,,,,,
director-on-s31,director-on,31,11000832,0.89,,0.0,,,,,,,
director-on-s31,director-on,31,11031552,0.83,,0.0,,,,,,,
director-on-s31,director-on,31,11062272,0.76,,0.0,,,,,,,
