run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
w10s-obj-cur-s41,w10s-obj-cur,41,3996672,0.41,0.902,-1.0,-0.2711,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,4027392,0.41,0.867,-1.0,0.0198,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,4058112,0.46,0.943,-1.0,-0.1142,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,4088832,0.4,0.914,-1.0,0.1797,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,4119552,0.33,0.886,-1.0,0.0343,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,4150272,0.47,0.952,-1.0,0.4269,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,4180992,0.45,0.97,-1.0,0.1351,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,4211712,0.58,1.064,-1.0,0.1329,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,4242432,0.39,0.863,-1.0,0.2061,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,4273152,0.58,1.101,-1.0,-0.1134,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,4303872,0.52,1.025,-1.0,0.2394,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,4334592,0.52,0.977,-1.0,0.1796,0.0,0.0,0.0,0.0,1.0,0.947
w10s-obj-cur-s41,w10s-obj-cur,41,4365312,0.52,0.988,-1.0,0.0969,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,4396032,0.55,1.016,-1.0,0.3353,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,4426752,0.42,0.942,-1.0,0.1803,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,4457472,0.5,0.957,-1.0,0.1326,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,4488192,0.46,0.991,-0.967,0.1452,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,4518912,0.42,0.917,-0.967,0.1084,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,4549632,0.54,1.038,-0.967,0.2044,0.0,0.0,0.0,0.0,1.0,0.946
